durmin,dur5,duravg,dur95,durmax,dursum,durdev,weimin,wei5,weiavg,wei95,weimax,weisum,weidev,depmin,dep5,depavg,dep95,depmax,depsum,depdev,accmin,acc5,accavg,acc95,accmax,accsum,accdev,resmin,res5,resavg,res95,resmax,ressum,resdev,loadrmin,loadr5,loadravg,loadr95,loadrmax,loadrsum,loadrdev,weiSumPF,weiSumLF,weiSumSF,weiSumOI,weiSumRatioPF,weiSumRatioLF,weiSumRatioSF,weiSumRatioOI,transSumPF,transSumLF,transSumSF,transSumOI,illegal
3,4,7.3111,14,244,4606,10.43201895,10.47,13.16,15.613603,18.96,31.27,9836.57,2.228517737,0,0,0,0,0,0,0,1,1,1.164,2,2,6,0.37,0,0,1.975,7,103,241,9.918,0.349,0.439,0.5204508,0.632,1.042,327.884,0.074262447,9836.57,0,0,0,1,0,0,0,630,0,0,0,FALSE
3,5,13.4926,39,131,16461,12.65749741,2.79,11.41,14.671525,16.42,17.68,17899.26,2.141523926,0,0,0.0185,0,0.94,22.57,0.101945642,1,1,1.372,2,3,16,0.513,0,0,0.361,2,8,97,0.913,0.093,0.38,0.4890525,0.547,0.589,596.644,0.071383027,17670.53,228.73,0,0,0.987,0.013,0,0,1176,44,0,0,FALSE
4,5,8.5828,15,37,11089,3.726955877,2.78,13.97,15.215828,17.1,17.83,19658.85,1.789710013,0,0,0.019303,0,1.06,24.94,0.134950894,1,1,1.24,2,3,21,0.495,0,0,0.901,4,19,173,2.03,0.093,0.466,0.5071958,0.57,0.594,655.297,0.059652758,19527.33,117,14.52,0,0.993,0.006,0.001,0,1265,26,1,0,FALSE
3,4,10.2093,29,51,3512,7.630822259,9.54,13.04,15.855523,17.29,17.66,5454.3,1.187810065,0,0,0,0,0,0,0,1,1,1.113,2,2,16,0.316,0,0,3,18,53,186,7.856,0.318,0.435,0.5285262,0.576,0.589,181.813,0.039599219,5438.63,0,15.67,0,0.997,0,0.003,0,343,0,1,0,FALSE
4,5,9.1735,16,50,3807,4.742910609,9,9.71,15.620217,16.88,17.15,6482.39,2.069478882,0,0,0,0,0,0,0,1,1,1.066,2,2,7,0.248,0,0,2.566,12,19,195,3.915,0.3,0.324,0.5206843,0.563,0.572,216.084,0.068990512,6482.39,0,0,0,1,0,0,0,415,0,0,0,TRUE
2,4,11.8639,32,48,4793,8.720567525,8.24,9.84,16.060545,17.1,17.24,6488.46,1.941455181,0,0,0,0,0,0,0,1,1,1.046,1,3,8,0.25,0,0,2.5,13,40,270,5.608,0.275,0.328,0.5353639,0.57,0.575,216.287,0.064715591,6488.46,0,0,0,1,0,0,0,404,0,0,0,TRUE
2,4,7.1362,15,44,5973,4.573111523,5.12,14.48,15.694205,17.08,17.41,13136.05,1.477138972,0,0,0.00264,0,0.37,2.21,0.027519185,1,1,1.178,2,3,31,0.397,0,0,1.098,7,12,191,2.294,0.171,0.483,0.5231314,0.569,0.58,437.861,0.049223281,13085.64,50.41,0,0,0.996,0.004,0,0,828,9,0,0,TRUE
2,4,12.2509,33,58,9715,9.948864326,5.55,14.83,16.195271,17.05,17.34,12842.85,1.401449604,0,0,0.005334,0,0.7,4.23,0.047461891,1,1,1.092,2,3,16,0.311,0,0,1.408,6,45,214,5.364,0.185,0.494,0.5398512,0.568,0.578,428.102,0.046716235,12777.97,64.88,0,0,0.995,0.005,0,0,782,11,0,0,TRUE
2,3,7.2206,16,41,2881,4.908841054,13.73,14.49,15.87619,16.95,17.33,6334.6,0.834144782,0,0,0,0,0,0,0,1,1,1.194,2,3,26,0.446,0,0,2.796,13,39,260,6.083,0.458,0.483,0.5292231,0.565,0.578,211.16,0.02782352,6334.6,0,0,0,1,0,0,0,399,0,0,0,TRUE
3,4,7.1636,13,85,4599,5.783183687,13.33,14.83,15.374081,16.42,17.19,9870.16,0.451089556,0,0,0,0,0,0,0,1,1,1.107,2,2,25,0.309,0,0,0.99,4,11,102,1.726,0.444,0.494,0.5124502,0.547,0.573,328.993,0.015036866,9870.16,0,0,0,1,0,0,0,642,0,0,0,FALSE
2,4,11.7209,31,121,6341,10.59739217,2.38,10.22,15.286765,16.99,17.34,8270.14,1.837992676,0,0,0.124695,1.84,2.24,67.46,0.468802452,1,1,1.282,2,3,33,0.491,0,0,2.553,12,121,263,12.74,0.079,0.341,0.5095453,0.566,0.578,275.664,0.061270018,7907.42,362.72,0,0,0.956,0.044,0,0,503,38,0,0,FALSE
4,6,13.6637,18,53,38108,3.581281295,1.11,10.41,11.085923,14.76,15.32,30918.64,1.12650138,0,0,1.73772,2.09,2.43,4846.5,0.50256834,1,1,1.007,1,2,2,0.086,0,0,0.353,1,15,95,1.349,0.037,0.347,0.369526,0.492,0.511,1030.608,0.037550899,2966.96,27951.68,0,0,0.096,0.904,0,0,200,2589,0,0,FALSE
2,5,11.6596,30,368,9864,22.04926671,5.84,14.28,15.33279,15.85,17.05,12971.54,0.646439436,0,0,0,0,0,0,0,1,1,1.226,2,3,20,0.455,0,0,0.645,3,13,80,1.788,0.195,0.476,0.5110816,0.528,0.568,432.375,0.021527139,12965.7,5.84,0,0,1,0,0,0,845,1,0,0,FALSE
2,5,12.0768,28,177,5978,12.25792531,5.32,14.65,15.370727,16.61,16.94,7608.51,1.087992812,0,0,0.006869,0,1.25,3.4,0.079193491,1,1,1.217,2,3,30,0.503,0,0,2.05,9,37,246,5.51,0.177,0.488,0.5123616,0.554,0.565,253.619,0.036288359,7586.57,21.94,0,0,0.997,0.003,0,0,491,4,0,0,FALSE
4,5,10.5639,23,91,3803,6.884065852,11.07,14.02,14.812556,15.57,16.25,5332.52,0.575629725,0,0,0,0,0,0,0,1,1,1.419,3,3,15,0.614,0,0,2.162,17,23,227,4.611,0.369,0.467,0.4937722,0.519,0.542,177.758,0.019199054,5332.52,0,0,0,1,0,0,0,360,0,0,0,FALSE
3,4,6.9856,14,86,6769,6.201950302,6.21,14.62,15.039618,15.54,16.12,14573.39,0.564024825,0,0,0.00226,0,1.16,2.19,0.049783333,1,1,1.191,2,3,16,0.435,0,0,0.704,3,20,81,2.155,0.207,0.487,0.5013168,0.518,0.537,485.776,0.018803139,14554.67,18.72,0,0,0.999,0.001,0,0,966,3,0,0,TRUE
4,5,8.56,21,66,5564,6.430475518,9.92,14.47,15.081492,15.63,16.63,9802.97,0.461764596,0,0,0,0,0,0,0,1,1,1.279,2,3,23,0.54,0,0,2.297,18,30,255,6.007,0.331,0.482,0.5027185,0.521,0.554,326.767,0.015384782,9802.97,0,0,0,1,0,0,0,650,0,0,0,TRUE
4,6,11.6175,24,133,4252,9.233232933,13.45,13.9,14.549098,15.3,15.61,5324.97,0.462216099,0,0,0,0,0,0,0,1,1,1.165,2,3,10,0.398,0,0,2.217,11,30,215,4.58,0.448,0.463,0.4849672,0.51,0.52,177.498,0.015424734,5324.97,0,0,0,1,0,0,0,366,0,0,0,TRUE
4,5,9.8099,19,69,5160,5.627706547,14.36,14.8,15.201084,15.56,16.38,7995.77,0.24369495,0,0,0,0,0,0,0,1,1,1.078,2,2,6,0.269,0,0,0.687,2,16,79,1.89,0.479,0.493,0.506673,0.519,0.546,266.51,0.008126818,7995.77,0,0,0,1,0,0,0,526,0,0,0,TRUE
3,4,9.9135,23,50,7564,6.108916518,13.12,14.89,15.49329,16.87,17.31,11821.38,0.572542378,0,0,0,0,0,0,0,1,1,1.197,2,3,21,0.45,0,0,1.073,5,30,191,3.212,0.437,0.496,0.5164286,0.562,0.577,394.035,0.019100371,11821.38,0,0,0,1,0,0,0,763,0,0,0,TRUE
2,3,11.05,24,92,10608,7.73450063,10.45,14.99,15.939938,17.07,17.5,15302.34,0.774129482,0,0,0,0,0,0,0,1,1,1.212,2,3,20,0.439,0,0,0.542,3,15,128,1.338,0.348,0.5,0.5313385,0.569,0.583,510.085,0.025796943,15302.34,0,0,0,1,0,0,0,960,0,0,0,TRUE
